"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"01TS","","Fort Parker Flying Field","Groesbeck","Texas","US",500,31.56525,-96.546097,"America/Chicago","01TS"
"01TX","","Beulah Field","Graham","Texas","US",1120,33.170581,-98.622222,"America/Chicago","01TX"
"01VA","","Pickles Airport","Berryville","Virginia","US",500,39.125,-77.925,"America/New_York","01VA"
"01WI","","Kilo Kilo Aerodrome","Wausau","Wisconsin","US",1269,44.896219,-89.719251,"America/Chicago","01WI"
"01WY","","Keyhole Airport","Moorcroft","Wyoming","US",4250,44.347205,-104.810804,"America/Denver","01WY"
"02AA","","Barefoot Airport","Big Lake","Alaska","US",160,61.506667,-149.911944,"America/Anchorage","02AA"
"02AK","","Rustic Wilderness Airport","Willow","Alaska","US",190,61.876911,-150.097639,"America/Anchorage","02AK"
"02AL","","Bass Field","Foley","Alabama","US",61,30.371464,-87.764444,"America/Chicago","02AL"
"02AN","","Emerald Ridge Airport","Homer","Alaska","US",221.7,59.704223,-151.295869,"America/Anchorage","02AN"
"02AR","","Mount Moriah Field","Murfreesboro","Arkansas","US",400,34.116944,-93.6965,"America/Chicago","02AR"
"02CD","","Shannon Field","Clarksdale","Mississippi","US",165,34.129606,-90.524025,"America/Chicago","02CD"
"02CO","","Mc Cullough Airport","Monte Vista","Colorado","US",7615,37.643335,-106.04697,"America/Denver","02CO"
"02FA","","Osborn Airfield","Groveland","Florida","US",121,28.526666,-81.8748,"America/New_York","02FA"
"02FD","","Triple R Ranch Airport","Baker","Florida","US",209,30.952347,-86.635417,"America/Chicago","02FD"
"02GA","","Doug Bolton Field","Commerce","Georgia","US",884,34.202608,-83.429049,"America/New_York","02GA"
"02GE","","Etowah Fields Airport","Euharlee","Georgia","US",710,34.175278,-84.924444,"America/New_York","02GE"
"02ID","","Morgan Ranch Airport","Cascade","Idaho","US",5634,44.555459,-115.305107,"America/Boise","02ID"
"02IN","","Diamond P Field","Muncie","Indiana","US",904,40.208889,-85.540833,"America/Indiana/Indianapolis","02IN"
"02KS","","Jmj Landing Airport","St Marys","Kansas","US",1170,39.222219,-96.055271,"America/Chicago","02KS"
"02MD","","Garner Field","Brandywine","Maryland","US",141,38.672544,-76.709739,"America/New_York","02MD"
"02ME","","Nadeau's Airfield","Acton","Maine","US",700,43.5373,-70.929367,"America/New_York","02ME"
"02MI","","Fairplains Airpark","Greenville","Michigan","US",850,43.157003,-85.148928,"America/Detroit","02MI"
"02MN","","Gregory Airport","Cambridge","Minnesota","US",950,45.629736,-93.174972,"America/Chicago","02MN"
"02MO","","Troy Airpark","Troy","Missouri","US",630,39.046261,-91.028219,"America/Chicago","02MO"
"02MS","","Watts Field","Rochdale","Mississippi","US",153,34.100107,-90.846771,"America/Chicago","02MS"
"02MT","","Steppler Field","Culbertson","Montana","US",2112,47.980428,-104.708936,"America/Denver","02MT"
"02NM","","Ffr Animas Landing Strip","Animas","New Mexico","US",4240,32.09071,-108.870735,"America/Denver","02NM"
"02NV","","Paiute Meadows Airport","Winnemucca","Nevada","US",4443,41.300556,-118.928333,"America/Los_Angeles","02NV"
"02OK","","Bobbitt Airport","Lamont","Oklahoma","US",1033,36.618889,-97.535,"America/Chicago","02OK"
"02PR","","Cuylers Airport","Vega Baja","Puerto Rico","US",15,18.453333,-66.366944,"America/Puerto_Rico","02PR"
"02SC","","Harpers Airport","Estill","South Carolina","US",111,32.758502,-81.224825,"America/New_York","02SC"
"02TN","","Ellis Field","Murfreesboro","Tennessee","US",840,35.780556,-86.584167,"America/Chicago","02TN"
"02TS","","El Tesoro Ranch Airport","Charlotte","Texas","US",334,28.662642,-98.723094,"America/Chicago","02TS"
